Feature,Importance
V14,0.57410884
V4,0.054543994
V12,0.030610241
V10,0.023756221
V19,0.023690473
V8,0.023546692
V3,0.022437712
V20,0.020485517
V13,0.017004063
V9,0.014959238
V17,0.014100779
Amount,0.013657093
V16,0.013483247
V18,0.012637925
V25,0.012397464
V11,0.0122586535
V1,0.012069459
V21,0.011547604
V15,0.010926965
V23,0.010053326
V7,0.010052621
V26,0.009945119
V2,0.008890157
V5,0.008464239
V28,0.0072444095
V6,0.0066247135
V24,0.005923332
Time,0.005591282
V27,0.0049321945
V22,0.0040563997
